source,target
0,684
0,735
0,199
0,992
0,1391
0,367
0,512
0,409
0,1737
0,974
0,1267
0,23
0,1878
2,54
2,1956
2,1379
2,1393
3,1612
3,355
5,933
5,765
6,1796
6,1381
7,54
7,1956
7,2
7,1379
7,1393
7,219
7,1400
7,864
8,1857
9,667
9,152
9,176
12,1233
12,1383
13,1208
13,987
13,1769
13,426
13,286
13,830
16,1327
16,708
16,1790
16,489
16,1336
16,1099
16,280
16,234
17,1858
17,139
17,299
17,976
17,1040
17,1326
17,1424
17,793
17,359
17,249
17,1964
17,902
17,296
17,256
17,646
17,1174
17,1743
17,511
17,1779
17,1100
17,248
17,766
17,1070
17,1289
17,322
17,1352
17,981
17,955
20,192
20,1303
21,239
23,512
23,409
23,1737
23,974
23,1267
23,1399
25,915
25,110
25,1115
25,1695
26,578
26,475
26,182
26,169
27,1342
27,1579
28,1908
28,332
28,718
31,87
31,1524
31,1378
32,1333
33,35
33,492
33,920
33,1260
34,629
34,1428
34,1435
34,1151
34,465
34,1558
34,89
34,480
34,666
34,713
35,492
36,1745
36,151
36,1154
36,1206
36,1997
36,491
36,190
36,353
37,1041
37,142
37,364
37,1773
37,1578
37,583
37,1507
38,1989
38,1867
38,1304
38,923
38,921
38,1494
38,1702
38,682
38,1162
38,1325
38,1213
38,1312
39,484
40,222
41,17
41,24
41,25
41,46
41,61
41,62
41,66
41,67
41,74
41,86
41,91
41,92
41,102
41,104
41,110
41,111
41,113
41,116
41,123
41,127
41,159
41,171
41,188
41,189
41,191
41,198
41,227
41,255
41,269
41,290
41,309
41,316
41,317
41,345
41,354
41,360
41,362
41,375
41,387
41,393
41,396
41,400
41,404
41,434
41,439
41,446
41,451
41,473
41,507
41,522
41,537
41,550
41,555
41,564
41,567
41,589
41,593
41,597
41,612
41,616
41,620
41,631
41,639
41,652
41,657
41,665
41,677
41,679
41,681
41,697
41,700
41,705
41,709
41,710
41,714
41,720
41,734
41,757
41,776
41,784
41,786
41,791
41,794
41,802
41,808
41,851
41,852
41,858
41,859
41,861
41,874
41,884
41,905
41,906
41,915
41,918
41,932
41,934
41,945
41,961
41,969
41,995
41,1006
41,1014
41,1020
41,1028
41,1036
41,1038
41,1049
41,1052
41,1067
41,1086
41,1088
41,1104
41,1106
41,1108
41,1115
41,1116
41,1117
41,1124
41,1126
41,1144
41,1183
41,1186
41,1187
41,1216
41,1219
41,1236
41,1238
41,1250
41,1252
41,1263
41,1265
41,1270
41,1275
41,1279
41,1291
41,1346
41,1350
41,1353
41,1355
41,1374
41,1394
41,1403
41,1405
41,1407
41,1409
41,1412
41,1454
41,1455
41,1466
41,1475
41,1477
41,1479
41,1487
41,1492
41,1497
41,1501
41,1511
41,1541
41,1545
41,1581
41,1608
41,1611
41,1619
41,1623
41,1629
41,1643
41,1655
41,1656
41,1669
41,1672
41,1676
41,1695
41,1709
41,1712
41,1717
41,1726
41,1730
41,1739
41,1755
41,1757
41,1776
41,1780
41,1787
41,1801
41,1802
41,1803
41,1804
41,1822
41,1836
41,1837
41,1853
41,1858
41,1861
41,1870
41,1872
41,1877
41,1879
41,1885
41,1889
41,1894
41,1915
41,1918
41,1919
41,1929
41,1931
41,1934
41,1938
41,1941
41,1957
41,1969
41,1970
41,1978
41,1987
41,1993
44,604
44,57
44,389
45,775
45,1311
47,1468
48,399
48,153
50,584
52,1567
53,187
54,1956
55,813
55,1689
55,96
55,739
55,1321
55,872
56,1495
56,795
56,1121
56,1862
56,831
56,1767
56,1376
56,685
56,75
56,696
56,210
56,1119
56,1936
56,879
56,638
56,172
56,486
56,1892
56,1727
56,450
56,1273
56,1901
56,1056
56,1150
56,509
56,253
56,392
56,1445
56,1898
56,1217
56,1058
56,605
56,611
56,1945
60,1048
60,1548
60,1185
60,1478
61,1619
61,1501
61,1104
61,1717
61,1236
61,858
61,74
61,1970
62,1709
62,1475
62,1853
63,1519
63,272
65,554
65,1551
66,17
66,36
66,43
66,50
66,70
66,80
66,88
66,103
66,108
66,116
66,123
66,139
66,140
66,145
66,156
66,167
66,181
66,189
66,198
66,203
66,215
66,220
66,237
66,242
66,263
66,296
66,299
66,309
66,317
66,322
66,335
66,337
66,339
66,353
66,357
66,359
66,371
66,402
66,425
66,427
66,431
66,434
66,440
66,449
66,455
66,462
66,464
66,479
66,496
66,511
66,523
66,556
66,574
66,582
66,584
66,599
66,607
66,631
66,642
66,657
66,661
66,679
66,691
66,700
66,737
66,749
66,751
66,762
66,766
66,782
66,786
66,805
66,807
66,810
66,832
66,837
66,861
66,867
66,904
66,913
66,918
66,949
66,955
66,975
66,976
66,981
66,1000
66,1002
66,1014
66,1040
66,1059
66,1064
66,1070
66,1076
66,1105
66,1168
66,1173
66,1174
66,1179
66,1184
66,1186
66,1189
66,1243
66,1247
66,1249
66,1264
66,1270
66,1275
66,1279
66,1286
66,1288
66,1289
66,1295
66,1299
66,1302
66,1306
66,1317
66,1326
66,1345
66,1352
66,1354
66,1377
66,1412
66,1451
66,1455
66,1466
66,1474
66,1487
66,1489
66,1511
66,1542
66,1546
66,1572
66,1581
66,1587
66,1651
66,1655
66,1667
66,1685
66,1699
66,1736
66,1782
66,1801
66,1829
66,1858
66,1868
66,1870
66,1874
66,1885
66,1889
66,1894
66,1919
66,1952
66,1959
66,1962
66,1965
66,1969
66,1986
66,1992
66,1994
69,1329
70,252
70,466
70,1408
71,1093
71,374
71,919
71,621
72,591
74,1717
74,1236
74,1492
74,1872
75,1767
75,696
75,1119
75,1936
76,742
76,236
76,1356
76,1068
77,131
77,226
77,927
78,748
79,178
79,1269
79,1713
83,0
83,8
83,13
83,21
83,31
83,34
83,37
83,41
83,48
83,49
83,56
83,66
83,69
83,86
83,89
83,101
83,106
83,108
83,123
83,125
83,128
83,130
83,135
83,137
83,143
83,144
83,147
83,149
83,153
83,160
83,162
83,166
83,170
83,177
83,179
83,189
83,198
83,201
83,209
83,225
83,239
83,240
83,246
83,254
83,268
83,269
83,274
83,278
83,279
83,286
83,291
83,309
83,310
83,316
83,317
83,321
83,330
83,342
83,348
83,366
83,367
83,372
83,375
83,385
83,397
83,399
83,417
83,426
83,434
83,441
83,446
83,447
83,456
83,457
83,465
83,474
83,480
83,514
83,535
83,551
83,558
83,560
83,565
83,566
83,570
83,573
83,581
83,588
83,594
83,603
83,605
83,609
83,611
83,626
83,629
83,631
83,640
83,651
83,653
83,657
83,664
83,666
83,686
83,689
83,699
83,700
83,713
83,717
83,719
83,727
83,729
83,732
83,736
83,737
83,738
83,744
83,745
83,755
83,761
83,768
83,783
83,786
83,788
83,808
83,812
83,817
83,820
83,826
83,830
83,833
83,840
83,849
83,850
83,861
83,885
83,890
83,893
83,899
83,903
83,905
83,906
83,932
83,939
83,943
83,944
83,957
83,966
83,972
83,978
83,980
83,986
83,987
83,996
83,999
83,1004
83,1007
83,1017
83,1021
83,1030
83,1034
83,1035
83,1039
83,1041
83,1051
83,1066
83,1095
83,1110
83,1120
83,1122
83,1133
83,1135
83,1138
83,1139
83,1141
83,1142
83,1151
83,1158
83,1161
83,1163
83,1166
83,1167
83,1181
83,1186
83,1199
83,1207
83,1208
83,1209
83,1212
83,1231
83,1235
83,1237
83,1240
83,1251
83,1256
83,1270
83,1279
83,1280
83,1284
83,1293
83,1318
83,1322
83,1329
83,1330
83,1332
83,1334
83,1335
83,1341
83,1344
83,1357
83,1359
83,1367
83,1369
83,1372
83,1398
83,1401
83,1405
83,1410
83,1425
83,1428
83,1430
83,1435
83,1443
83,1448
83,1455
83,1456
83,1460
83,1462
83,1466
83,1467
83,1469
83,1487
83,1493
83,1497
83,1498
83,1506
83,1509
83,1511
83,1518
83,1525
83,1544
83,1558
83,1569
83,1581
83,1586
83,1590
83,1593
83,1595
83,1604
83,1610
83,1613
83,1621
83,1634
83,1646
83,1655
83,1661
83,1671
83,1674
83,1676
83,1682
83,1683
83,1690
83,1691
83,1700
83,1703
83,1705
83,1715
83,1740
83,1741
83,1761
83,1764
83,1769
83,1775
83,1778
83,1780
83,1783
83,1786
83,1797
83,1801
83,1831
83,1835
83,1838
83,1842
83,1857
83,1863
83,1870
83,1875
83,1882
