id,community
0,2
1,5
2,0
3,0
4,3
5,4
6,7
7,0
8,2
9,1
10,7
11,6
12,7
13,2
14,7
15,6
16,3
17,5
18,2
19,7
20,0
21,2
22,0
23,2
24,4
25,4
26,6
27,1
28,7
29,1
30,6
31,1
32,1
33,7
34,1
35,7
36,6
37,1
38,3
39,2
40,3
41,4
42,0
43,6
44,3
45,2
46,4
47,5
48,1
49,1
50,6
51,2
52,4
53,3
54,0
55,0
56,0
57,3
58,4
59,1
60,5
61,4
62,5
63,0
64,3
65,0
66,6
67,4
68,0
69,1
70,6
71,7
72,3
73,1
74,4
75,0
76,4
77,3
78,7
79,2
80,6
81,4
82,6
83,1
84,6
85,4
86,3
87,1
88,6
89,1
90,7
91,4
92,3
93,5
94,0
95,7
96,0
97,2
98,7
99,4
100,0
101,2
102,4
103,6
104,4
105,3
106,2
107,3
108,7
109,2
110,4
111,4
112,3
113,4
114,4
115,7
116,6
117,1
118,4
119,3
120,7
121,5
122,0
123,6
124,5
125,2
126,3
127,5
128,2
129,5
130,2
131,3
132,7
133,4
134,7
135,2
136,7
137,1
138,0
139,5
140,6
141,5
142,1
143,2
144,2
145,6
146,3
147,2
148,5
149,1
150,1
151,6
152,1
153,1
154,5
155,0
156,6
157,1
158,3
159,5
160,1
161,3
162,1
163,4
164,2
165,7
166,1
167,6
168,6
169,6
170,2
171,4
172,0
173,5
174,6
175,2
176,1
177,2
178,2
179,1
180,3
181,5
182,6
183,7
184,4
185,4
186,0
187,3
188,5
189,6
190,6
191,5
192,0
193,7
194,5
195,3
196,0
197,7
198,7
199,2
200,0
201,1
202,2
203,6
204,7
205,7
206,4
207,3
208,5
209,2
210,0
211,5
212,4
213,7
214,2
215,6
216,7
217,7
218,0
219,0
220,6
221,3
222,3
223,3
224,2
225,1
226,3
227,4
228,3
229,0
230,7
231,7
232,3
233,1
234,3
235,6
236,4
237,6
238,7
239,2
240,1
241,0
242,6
243,3
244,2
245,7
246,2
247,7
248,5
249,5
250,4
251,7
252,6
253,0
254,1
255,4
256,5
257,5
258,0
259,5
260,7
261,3
262,4
263,6
264,7
265,4
266,0
267,5
268,2
269,3
270,5
271,3
272,0
273,3
274,1
275,3
276,3
277,3
278,2
279,2
280,3
281,2
282,4
283,2
284,2
285,1
286,2
287,4
288,3
289,3
290,4
291,1
292,2
293,6
294,0
295,3
296,5
297,4
298,0
299,5
300,5
301,3
302,7
303,5
304,1
